Regions,Boroughs,Latitude,Longitude
Centro,Bela Vista,-23.5521281,-46.6351612
Centro,Bom Retiro,-23.5256564,-46.6516185
Centro,Cambuci,-23.565619,-46.6301603
Centro,Consolacao,-23.5540827,-46.6554632
Centro,Liberdade,-23.5653115,-46.6411145
Centro,Republica,-23.543687,-46.6466107
Centro,Santa Cecília,-23.5381059,-46.6630581
Centro,Se,-23.5521281,-46.6351612
Leste,Aricanduva,-23.579499,-46.5197809
Leste,Carrao,-23.5537464,-46.5420355
Leste,Vila Formosa,-23.5650865,-46.549602
Leste,Cidade Tiradentes,-23.6127664,-46.429527
Leste,Ermelino Matarazzo,-23.4696848,-46.4808338
Leste,Ponte Rasa,-23.5092534,-46.5039861
Leste,Guaianases,-23.5726032,-46.4140278
Leste,Lajeado,-23.5261179,-46.4391508
Leste,Itaim Paulista,-23.501076,-46.3991052
Leste,Vila Curuca,-23.5101808,-46.4339979
Leste,Itaquera,-23.5352445,-46.4713568
Leste,Cidade Lider,-23.5581298,-46.4818408
Leste,Jose Bonifacio,-23.564062,-46.4486866
Leste,Parque do Carmo,-23.5717393,-46.479977
Leste,Mooca Agua Rasa,-23.5530947,-46.5837249
Leste,Belem,-23.547063,-46.5999542
Leste,Bras,-23.5392157,-46.6235439
Leste,Moóca,-23.5639559,-46.6230967
Leste,Pari,-23.5276866,-46.6159259
Leste,Tatuape,-23.5340132,-46.5760993
Leste,Penha,-23.5247058,-46.5550206
Leste,Artur Alvim,-23.5484698,-46.4768521
Leste,Cangaíba,-23.5065847,-46.5268922
Leste,Vila Matilde,-23.5396269,-46.5309286
Leste,Sao Mateus,-23.6000742,-46.4983971
Leste,Sao Rafael,-23.6292688,-46.4684114
Leste,Sao Miguel,-23.4929755,-46.4462898
Leste,Jardim Helena,-23.4809884,-46.4257665
Leste,Vila Jacui,-23.499421,-46.4577652
Leste,Sapopemba,-23.5748681,-46.5328036
Leste,Vila Prudente,-23.5796505,-46.5882355
Leste,Sao Lucas,-23.5864979,-46.5439638
Norte,Casa Verde,-23.509847,-46.6614819
Norte,Cachoeirinha,-23.4492856,-46.679264
Norte,Limao,-23.5072103,-46.6766188
Norte,Brasilandia,-23.475292,-46.6930639
Norte,Freguesia do O,-23.5028779,-46.7027606
Norte,Jaçana,-23.4579297,-46.5956704
Norte,Tremembé,-23.46647,-46.6322368
Norte,Perus,-23.4094424,-46.7909396
Norte,Anhanguera,-23.4190895,-46.8321669
Norte,Pirituba,-23.4787585,-46.7483447
Norte,Jaragua,-23.4642867,-46.7543114
Norte,Sao Domingos,-23.4936873,-46.7633312
Norte,Santana,-23.5006285,-46.6465084
Norte,Tucuruvi,-23.473662,-46.6129028
Norte,Mandaqui,-23.4832699,-46.6286842
Norte,Vila Maria,-23.5181363,-46.591871
Norte,Vila Guilherme,-23.5150459,-46.6186012
Norte,Vila Medeiros,-23.490252,-46.5930092
Oeste,Butanta,-23.5719237,-46.7095878
Oeste,Morumbi,-23.6002567,-46.7255461
Oeste,Raposo Tavares,-23.5913751,-46.772341
Oeste,Rio Pequeno,-23.5665987,-46.7586146
Oeste,Vila Sonia,-23.5961525,-46.7365594
Oeste,Lapa,-23.5213471,-46.7164428
Oeste,Barra Funda,-23.5259254,-46.6649613
Oeste,Jaguara,-23.5092994,-46.7537885
Oeste,Jaguare,-23.5516565,-46.742878
Oeste,Perdizes,-23.5374968,-46.6775863
Oeste,Vila Leopoldina,-23.5299251,-46.7438377
Oeste,Pinheiros,-23.5512692,-46.7244654
Oeste,Alto de Pinheiros,-23.5719237,-46.7095878
Oeste,Itaim Bibi,-23.5840861,-46.6854847
Oeste,Jardim Paulista,-23.5742357,-46.6688693
Oeste,Pinheiros,-23.5719237,-46.7095878
Sul,Campo Limpo,-23.6347756,-46.763745
Sul,Capao Redondo,-23.6719292,-46.7948238
Sul,Vila Andrade,-23.6344219,-46.7419816
Sul,Capela do Socorro Cidade Dutra,-23.5877577,-46.7254218
Sul,Grajau,-23.772569,-46.6737049
Sul,Socorro,-23.6711896,-46.7145044
Sul,Cidade Ademar,-23.6704705,-46.6617484
Sul,Pedreira,-22.7621987,-46.9631629
Sul,Ipiranga,-23.5843587,-46.6197097
Sul,Sacoma,-23.6130277,-46.6065779
Sul,Jabaquara,-23.6351501,-46.6509006
Sul,MBoi Mirim,-23.6860907,-46.7793108
Sul,Jardim Angela,-23.7027772,-46.7779426
Sul,Jardim Sao Luis,-23.6513553,-46.741811
Sul,Parelheiros,-23.8244203,-46.7767858
Sul,Marsilac,-23.907256,-46.7151833
Sul,Santo Amaro,-23.6446495,-46.7211555
Sul,Campo Belo,-23.6216234,-46.6760777
Sul,Campo Grande,-23.6780694,-46.6959916
Sul,Santo Amaro,-23.6446495,-46.7211555
Sul,Moema,-23.6020669,-46.6742054
Sul,Saude,-23.6179967,-46.6406382
Sul,Vila Mariana,-23.5905023,-46.6522266
